_Artist_ID,Biography,Start_Date_Disp,End_Date_Disp,Display_Name,First_Name,Last_Name,Nat_Culture_L2,Sort_Name,Artist_Code
485,,1903,1984,Stephen Etnier,Stephen,Etnier,American,"Etnier, Stephen",
486,,,,J. Evans,J.,Evans,American,"Evans, J.",500000588
487,"From collection file notes, found on typed index cards in an envelope addressed to Hugh, undated: &quot;N. Las Vegas, Nev. True pottery-made at the Desert Sands Pottery, from natural colored clays found in the mountains of the desert-not painted...Five generations of potters within the family...Started in the Ozark Hills of Missouri before the Civil War.&quot;",,,Terrell Evans,Terrell,Evans,American,"Evans, Terrell",
488,,1901,1973,Philip Howard Evergood,Philip Howard,Evergood,American,"Evergood, Philip Howard",
489,,1882,1949,Alexandra Exter,Alexandra,Exter,Russian,"Exter, Alexandra",
490,,1915,,Marcello Fantoni,Marcello,Fantoni,Italian,"Fantoni, Marcello",500129323
491,,1871,1956,Lyonel (Charles Adrian) Feininger,Lyonel (Charles Adrian),Feininger,American,"Feininger, Lyonel (Charles Adrian)",
492,,ca. 1705,1752,Robert Feke (Attributed To),Robert,Feke (Attributed To),American,"Feke (Attributed To), Robert",
493,,,,Pamelia Fenton,Pamelia,Fenton,American,"Fenton, Pamelia",
494,,,,Ferber,,Ferber,,Ferber,
495,,1933,,Rafael Ferrer,Rafael,Ferrer,Puerto Rican,"Ferrer, Rafael",500070290
496,,1873,1922,Hamilton Easter Field,Hamilton Easter,Field,American,"Field, Hamilton Easter",500011769
